	green_space	mean_income	median_income	total_area	dwellings_p_hectare	life_satisfaction	worhtwile	happiness	anxiety	e_to_p	own_outright	buying_w._mortg.	rented	rented_from_private	average_rent
Barking & Dagenham	33.6	27400	23900	3779.9	20.1	7.52	7.88	7.67	2.85	10.76	22	26.9	30.4	20.7	1192
Barnet	41.3	49500	28700	8674.8	17.6	7.55	7.68	7.44	2.78	14.21	31.7	29.3	13.9	25.2	1548
Bexley	31.7	33500	26900	6428.6	15.3	7.54	7.83	7.55	3.04	9.68	35.8	38.7	10.4	15.1	1084
Brent	21.9	35400	24700	4323.3	27.9	7.71	7.84	7.84	2.7	15.74	21.9	25.4	23.5	29.2	1578
Bromley	57.8	45500	32000	15013.5	9.3	7.57	7.65	7.47	3.16	10.73	30.8	36.8	13.3	19.1	1318
Camden	24.8	92600	37300	2178.9	48.5	7.48	7.63	7.38	3.62	18.28	22	14.5	35.3	28.2	2427
City of London	4.8	148000	60000	314.9	20.7										2377
Westminster	21.5	124000	39700	2203.0	56.9	7.66	7.75	7.38	3.33	22.7	24.9	12.2	30.3	32.6	2832
Croydon	37.1	35600	27500	8650.4	18.6	7.69	7.81	7.78	3.27	11.18	26.2	37	17.6	19.2	1112
Ealing	30.9	39700	26700	5554.4	24.4	7.53	7.97	7.61	3.23	15	29.9	33.3	11.2	25.6	1484
Enfield	45.6	36200	26300	8220.1	15.4	7.37	7.68	7.35	2.63	12.46	30.1	24.7	19	26.2	1325
Greenwich	34.4	40200	27600	5043.9	22.7	7.54	7.81	7.36	3.15	12.7	21.6	32.6	26.1	19.7	1380
Hackney	23.2	43100	29400	1904.9	58.6	7.5	7.68	7.38	3.23	16.14	11.3	18.3	42.9	27.4	1834
Hammersmith & Fulham	19.1	73200	33200	1715.4	52.0	7.72	7.83	7.6	3.52	17.74	23.1	19	28.6	29.3	2070
Haringey	25.5	43800	27100	2959.8	37.0	7.35	7.72	7.26	3.34	14.48	25.5	23	23.4	28.2	1513
Harrow	34.6	39000	27600	5046.3	18.2	7.65	7.72	7.61	2.44	13.09	32.4	29.5	9.3	28.8	1396
Havering	59.3	35700	27900	11445.7	9.0	7.68	7.91	7.4	2.83	10.79	30.8	39	16.3	13.9	1131
Hillingdon	49.2	35900	27100	11570.1	9.6	7.76	7.79	7.67	3.17	13.19	24	37.8	18.4	19.8	1268
Hounslow	39.6	40300	26400	5658.5	18.0	7.85	7.99	7.73	3.28	11.95	24.3	32.4	21.7	21.6	1410
Islington	12.4	62100	33400	1485.7	69.8	7.51	7.59	7.3	3.35	13.78	19.9	18.6	34.1	27.4	1895
Kensington & Chelsea	15.1	177000	40400	1238.4	70.8	7.23	7.46	7.38	3.71	28.08	26.2	11.7	35.6	26.6	3208
Kingston-upon-Thames	36.4	48700	32400	3726.1	18.2	7.78	7.95	7.59	3.04	12.7	33.1	30.6	9.5	26.9	1396
Lambeth	17.3	45600	29900	2724.9	51.9	7.22	7.6	7.26	3.32	14.5	15.7	24.2	36.5	23.5	1751
Lewisham	22.5	36800	27300	3532.0	36.3	7.49	7.81	7.55	3.18	12.78	14.8	34.4	27.4	23.4	1318
Merton	34.6	54600	30200	3762.5	22.5	7.84	8.03	7.57	3.07	12.39	28.7	32.8	12.5	26	1542
Newham	23.9	30000	24100	3857.4	30.3	7.54	7.73	7.54	3.04	13.01	18.6	23	27.2	31.3	1422
Redbridge	40.6	37100	28000	5644.2	18.5	7.54	7.75	7.45	3.17	12.18	27.7	33.5	8.9	29.9	1303
Richmond-upon-Thames	50.8	69000	36100	5876.1	14.6	7.7	7.76	7.48	3.38	14.96	34.9	34.3	10.9	19.9	1896
Southwark	24.9	48600	29400	2991.3	45.5	7.34	7.5	7.28	3.68	14.29	13	23.6	38.1	25.3	1676
Sutton	32	36900	28200	4384.7	19.1	7.88	8.04	7.79	2.94	10.6	32.8	36.4	10.3	20.5	1130
Tower Hamlets	15.2	46600	30200	2157.9	56.3	7.82	7.78	7.73	3.26	11.51	13.7	18.2	31.8	36.2	1773
Waltham Forest	31.4	31900	25500	3880.8	26.7	7.46	7.81	7.51	3.03	12.79	23	38.4	19.2	19.4	1314
Wandsworth	26.9	67900	34500	3522.0	42.0	7.65	7.71	7.5	2.88	14.49	20.9	33.4	14.5	31.2	1828
